#time,	NE,	NI
936	0.002	0.0192
937	0.3714	0.0002
938	0.5892	0.124
939	0.2184	0.0532
940	0.1032	0.019
941	0.1338	0.0246
942	0.1492	0.0194
943	0.0222	0.0082
944	0.0714	0.0212
945	0.0004	0
946	0.4134	0.0006
947	0.6262	0.124
948	0.2064	0.0484
949	0.1338	0.0208
950	0.129	0.0192
951	0.1402	0.0088
952	0.0724	0.0208
953	0.0006	0.0006
954	0.0012	0
955	0.437	0.0098
956	0.6442	0.1308
957	0.2366	0.0498
958	0.1264	0.0202
959	0.1394	0.0092
960	0.2376	0.021
961	0.085	0.0232
962	0.0008	0.0002
963	0.0006	0.0002
964	0.4374	0.0202
965	0.6108	0.1206
966	0.2092	0.0508
967	0.0612	0.0104
968	0.101	0.0202
969	0.1318	0.0194
970	0.0282	0.0106
971	0.0138	0.0102
972	0.0256	0.0198
973	0.436	0.0002
974	0.6372	0.1264
975	0.2134	0.047
976	0.1098	0.0148
977	0.1548	0.0204
978	0.1484	0.0106
979	0.0282	0.0106
980	0.0564	0.0212
981	0.001	0.0002
982	0.4606	0.0002
983	0.667	0.1362
984	0.232	0.0452
985	0.1904	0.017
986	0.1606	0.0126
987	0.1524	0.0092
988	0.0828	0.0278
989	0.0006	0.0004
990	0.0018	0
991	0.4382	0.031
992	0.6414	0.1328
993	0.2326	0.0456
994	0.0976	0.0104
995	0.104	0.0112
996	0.228	0.0222
997	0.118	0.0324
998	0.0006	0.0002
999	0.0006	0
1000	0.4552	0.0032
1001	0.6738	0.134
1002	0.171	0.041
1003	0.0422	0.0058
1004	0.0922	0.0176
1005	0.2332	0.0288
1006	0.0898	0.0248
1007	0.0002	0.0002
1008	0.001	0.0002
1009	0.458	0.001
1010	0.6528	0.1344
1011	0.149	0.0366
1012	0.059	0.012
1013	0.1348	0.0218
1014	0.2766	0.029
1015	0.0798	0.0224
1016	0.0014	0.0008
1017	0.0008	0.0002
1018	0.463	0.0408
1019	0.5188	0.1126
1020	0.13	0.033
1021	0.0706	0.0172
1022	0.1268	0.0228
1023	0.1566	0.0264
1024	0.012	0.0086
1025	0.0012	0.0086
1026	0.0852	0.021
1027	0.4896	0.032
1028	0.5038	0.1128
1029	0.1264	0.0316
1030	0.0948	0.0204
1031	0.1358	0.0234
1032	0.0884	0.0188
1033	0.009	0.006
1034	0.0444	0.017
1035	0.0754	0.0002
1036	0.5114	0.0376
1037	0.5006	0.113
1038	0.137	0.032
1039	0.1188	0.0222
1040	0.141	0.0206
1041	0.0526	0.0088
1042	0.0302	0.016
1043	0.0012	0
1044	0.1096	0.0002
1045	0.5474	0.0648
1046	0.5032	0.1138
1047	0.1584	0.0338
1048	0.1362	0.0214
1049	0.1594	0.0112
1050	0.0734	0.0166
1051	0.0214	0.0098
1052	0.0032	0.0098
1053	0.1392	0.0192
1054	0.5528	0.0464
1055	0.516	0.1142
1056	0.1704	0.035
1057	0.1368	0.0122
1058	0.1558	0.016
1059	0.0434	0.0104
1060	0.0246	0.0098
1061	0.0652	0.0196
1062	0.1212	0.0004
1063	0.5718	0.0642
1064	0.5252	0.115
1065	0.2044	0.0322
1066	0.1868	0.0118
1067	0.1352	0.0122
1068	0.0408	0.01
1069	0.0696	0.0206
1070	0.0008	0
1071	0.1402	0
1072	0.5998	0.0608
1073	0.5124	0.1146
1074	0.2102	0.0294
1075	0.1108	0.0054
1076	0.105	0.0052
1077	0.078	0.0098
1078	0.083	0.0244
1079	0.0006	0
1080	0.1504	0.0006
1081	0.6168	0.0714
1082	0.5322	0.1052
1083	0.253	0.0284
1084	0.125	0.001
1085	0.1152	0
1086	0.065	0.016
1087	0.002	0.01
1088	0.0006	0
1089	0.1244	0.012
1090	0.6018	0.0646
1091	0.5286	0.1112
1092	0.2306	0.036
1093	0.1348	0.0054
1094	0.1858	0.0184
1095	0.0374	0.0098
1096	0.0134	0.0092
1097	0.001	0.0042
1098	0.0246	0.0006
1099	0.4376	0.0626
1100	0.4634	0.1064
1101	0.1736	0.0266
1102	0.1652	0.0218
1103	0.2556	0.0236
1104	0.2886	0.0364
1105	0.0584	0.017
1106	0.0006	0
1107	0.1696	0
1108	0.5864	0.0666
1109	0.4426	0.1034
1110	0.1076	0.0226
1111	0.065	0.0072
1112	0.1002	0.0144
1113	0.1062	0.0268
1114	0.0224	0.0102
1115	0.0098	0.0098
1116	0.2628	0.0228
1117	0.6134	0.0714
1118	0.4464	0.1048
1119	0.1058	0.0154
1120	0.103	0.012
1121	0.1814	0.0224
1122	0.0786	0.0206
1123	0.0016	0.0032
1124	0.0128	0.0166
