#time,	NE,	NI
871	0.203	0.0412
872	0.1456	0.0294
873	0.1642	0.0388
874	0.1138	0.028
875	0.0214	0
876	0.119	0.0294
877	0.1162	0.0262
878	0.1638	0.043
879	0.1822	0.0374
880	0.1682	0.0388
881	0.1946	0.0494
882	0.0164	0.0026
883	0.112	0.0284
884	0.0024	0.0002
885	0.0024	0
886	0.027	0.0072
887	0.0006	0.0044
888	0.0006	0.0044
889	0.0008	0.0042
890	0.0002	0.0046
891	0.001	0.0012
892	0.001	0.0002
893	0.004	0.0018
894	0.0434	0.0114
895	0.1468	0.0314
896	0.1618	0.0496
897	0.1168	0.0358
898	0.1084	0.033
899	0.134	0.0378
900	0.0132	0.0078
901	0.1436	0.0388
902	0.0374	0.0006
903	0.2036	0.0492
904	0.1194	0.027
905	0.1248	0.0338
906	0.1024	0.0242
907	0.1352	0.0304
908	0.143	0.0254
909	0.1974	0.0398
910	0.1274	0.0298
911	0.1306	0.0336
912	0.125	0.0358
913	0.1984	0.0568
914	0.0046	0.0072
915	0.0046	0.0008
916	0.0176	0.0026
917	0.1322	0.0326
918	0.1072	0.022
919	0.1268	0.0316
920	0.1808	0.039
921	0.1628	0.0326
922	0.1598	0.0322
923	0.118	0.0294
924	0.016	0.0048
925	0.1038	0.028
926	0.0192	0
927	0.1196	0.0296
928	0.0822	0.0146
929	0.2086	0.054
930	0.1984	0.06
931	0.0992	0.0274
932	0.1646	0.0418
933	0.2272	0.057
934	0.094	0.0208
935	0.1056	0.026
936	0.041	0.0102
937	0.1026	0.0256
938	0.0216	0.003
939	0.1308	0.032
940	0.1262	0.0306
941	0.0974	0.0118
942	0.2886	0.0722
943	0.0098	0.002
944	0.0866	0.0224
945	0.0106	0.0052
946	0.0074	0.0018
947	0.0084	0.0024
948	0.0072	0.0018
949	0.0004	0
950	0.0084	0.0018
951	0.1132	0.0268
952	0.1922	0.0476
953	0.214	0.0428
954	0.13	0.0354
955	0.1272	0.0362
956	0.0334	0.007
957	0.1086	0.0262
958	0.0018	0.0002
959	0.0288	0.0002
960	0.14	0.0346
961	0.107	0.0294
962	0.1412	0.0254
963	0.1852	0.0414
964	0.2536	0.0626
965	0.1576	0.0296
966	0.2252	0.0556
967	0.0436	0.0126
968	0.148	0.0316
969	0.2326	0.0586
970	0.1638	0.0306
971	0.1844	0.0462
972	0.04	0.0004
973	0.2172	0.0546
974	0.0372	0.0078
975	0.1598	0.0406
976	0.0148	0.0038
977	0.0298	0.0016
978	0.13	0.0286
979	0.1404	0.03
980	0.1324	0.0254
981	0.1666	0.032
982	0.2172	0.054
983	0.2236	0.0356
984	0.2432	0.0622
985	0.0472	0.0072
986	0.1382	0.034
987	0.0456	0.0032
988	0.1102	0.0276
989	0.0504	0.0104
990	0.1112	0.0278
991	0.0016	0
992	0.039	0.0098
993	0.0922	0.0188
994	0.19	0.047
995	0.1914	0.0528
996	0.2116	0.0606
997	0.1162	0.0276
998	0.043	0.0026
999	0.1174	0.0298
1000	0.0022	0.0002
1001	0.0008	0.0002
1002	0.0008	0.0002
1003	0.0008	0.0004
1004	0.0574	0.0148
1005	0.0202	0.0058
1006	0.1166	0.0296
1007	0.0512	0.0102
1008	0.1208	0.0304
1009	0.0672	0.0166
1010	0.119	0.0226
1011	0.269	0.067
1012	0.1734	0.0398
1013	0.0976	0.0286
1014	0.0844	0.0248
1015	0.0988	0.0278
1016	0.0096	0.0038
1017	0.023	0.0002
1018	0.094	0.024
1019	0.011	0.0004
1020	0.1028	0.0254
1021	0.005	0.001
1022	0.0062	0.0002
1023	0.038	0.0094
1024	0.057	0.012
1025	0.109	0.0298
1026	0.0246	0.0002
1027	0.1102	0.0278
1028	0.002	0.0002
1029	0.031	0.0072
1030	0.1008	0.0268
1031	0.147	0.022
1032	0.2282	0.0556
1033	0.1594	0.0366
1034	0.2176	0.0502
1035	0.1656	0.0488
1036	0.086	0.0136
1037	0.2024	0.0502
1038	0.0274	0.0086
1039	0.0888	0.0196
1040	0.146	0.0272
1041	0.2534	0.0564
1042	0.2908	0.0518
1043	0.2898	0.0746
1044	0.1276	0.032
1045	0.1562	0.0266
1046	0.1962	0.0494
1047	0.0006	0.0004
1048	0.0016	0.0002
1049	0.0202	0.0002
1050	0.1066	0.0264
1051	0.0178	0.0026
1052	0.0566	0.0114
1053	0.15	0.0364
1054	0.1434	0.0244
1055	0.2148	0.0638
1056	0.1356	0.023
1057	0.2388	0.0596
1058	0.0374	0.0002
1059	0.23	0.0576
1060	0.0644	0.0102
1061	0.1202	0.03
1062	0.011	0
1063	0.112	0.028
1064	0.034	0
1065	0.1648	0.0412
1066	0.0766	0.0222
1067	0.318	0.0762
1068	0.1466	0.0286
1069	0.1186	0.0294
1070	0.1132	0.0214
1071	0.13	0.0386
1072	0.119	0.0274
1073	0.0276	0.0002
1074	0.1704	0.043
1075	0.0106	0.0002
1076	0.102	0.0234
1077	0.1496	0.0266
1078	0.1042	0.0258
1079	0.0224	0.0012
1080	0.208	0.0464
1081	0.2128	0.045
1082	0.2436	0.0548
1083	0.2782	0.0624
1084	0.2408	0.0588
1085	0.0736	0.0038
1086	0.2434	0.0608
1087	0.0536	0.0052
1088	0.143	0.0256
1089	0.1816	0.0396
1090	0.1354	0.027
1091	0.1448	0.0272
1092	0.1506	0.0272
1093	0.1398	0.0374
1094	0.0496	0.0078
1095	0.1398	0.038
1096	0.1156	0.0264
1097	0.0536	0.0004
1098	0.2082	0.0524
1099	0.0504	0.0052
1100	0.1906	0.0458
1101	0.1502	0.0372
1102	0.201	0.0494
1103	0.1222	0.0224
1104	0.1286	0.03
1105	0.1062	0.0262
1106	0.0396	0.0004
1107	0.2044	0.051
1108	0.0256	0.0004
1109	0.1326	0.028
1110	0.1806	0.0382
1111	0.1268	0.029
1112	0.1212	0.0288
1113	0.037	0.0018
