#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
654	0.0066	0.0012
655	0.0038	0.001
656	0.0008	0.0002
657	0.0008	0.0002
658	0.002	0.0002
659	0.0082	0.0024
660	0.13	0.0296
661	0.4154	0.1068
662	0.3064	0.0788
663	0.23	0.0578
664	0.1432	0.0368
665	0.0694	0.0162
666	0.0304	0.0078
667	0.0112	0.0026
668	0.0064	0.0012
669	0.002	0.0006
670	0.0014	0.0006
671	0.0014	0.0002
672	0.0118	0.0016
673	0.2316	0.0612
674	0.2504	0.0594
675	0.3514	0.0842
676	0.2764	0.0644
677	0.1918	0.0468
678	0.1032	0.0242
679	0.0466	0.0126
680	0.0186	0.0064
681	0.0066	0.0022
682	0.0024	0.0012
683	0.0022	0.0002
684	0.008	0.002
685	0.0176	0.0062
686	0.1344	0.0342
687	0.3644	0.0914
688	0.3216	0.0722
689	0.2808	0.0646
690	0.1786	0.0414
691	0.0948	0.0228
692	0.0454	0.0118
693	0.0198	0.0056
694	0.0086	0.0018
695	0.0032	0.001
696	0.0018	0.0004
697	0.0028	0.0006
698	0.0186	0.004
699	0.1672	0.048
700	0.158	0.0366
701	0.2432	0.0566
702	0.2264	0.054
703	0.1704	0.042
704	0.0936	0.0228
705	0.0504	0.011
706	0.0236	0.0052
707	0.0104	0.0028
708	0.0056	0.0022
709	0.003	0
710	0.0106	0.0036
711	0.0144	0.0026
712	0.0994	0.0266
713	0.2414	0.0582
714	0.3532	0.0898
715	0.2994	0.0738
716	0.1826	0.043
717	0.098	0.0228
718	0.0464	0.0108
719	0.0182	0.0048
720	0.0068	0.0016
721	0.0034	0.0004
722	0.0018	0.0004
723	0.0012	0
724	0.0022	0.0004
725	0.0116	0.004
726	0.1154	0.0282
727	0.3618	0.0864
728	0.4182	0.1042
729	0.2914	0.0736
730	0.1618	0.0394
731	0.0804	0.0174
732	0.0342	0.008
733	0.0138	0.0026
734	0.0058	0.0008
735	0.0022	0.0004
736	0.001	0.0002
737	0.0008	0
738	0.0016	0.0004
739	0.001	0
740	0.001	0.0002
741	0.0038	0.0018
742	0.0406	0.012
743	0.1638	0.041
744	0.295	0.0784
745	0.2026	0.0542
746	0.1458	0.0356
747	0.072	0.0166
748	0.0326	0.0088
749	0.0142	0.0044
750	0.0058	0.0022
751	0.0032	0.0006
752	0.0022	0.0004
753	0.0012	0.0004
754	0.0014	0.0006
755	0.0084	0.002
756	0.121	0.0316
757	0.2862	0.0712
758	0.2898	0.0708
759	0.265	0.0654
760	0.1856	0.0448
761	0.1124	0.026
762	0.052	0.012
763	0.0236	0.0056
764	0.0094	0.0024
765	0.0046	0.0012
766	0.0028	0.0004
767	0.0018	0.0004
768	0.019	0.004
769	0.1192	0.0266
770	0.3956	0.1002
771	0.3208	0.0768
772	0.277	0.0704
773	0.1374	0.0294
774	0.0644	0.0116
775	0.0262	0.0056
776	0.01	0.0026
777	0.005	0.0008
778	0.0032	0.0004
779	0.0008	0.0002
780	0.0008	0.0002
781	0.0082	0.0018
782	0.0684	0.0178
783	0.2926	0.0662
784	0.5116	0.1198
785	0.4052	0.0986
786	0.2094	0.0554
787	0.1076	0.0242
788	0.0448	0.0098
789	0.0144	0.0044
790	0.0064	0.0022
791	0.0026	0.001
792	0.0016	0.0002
793	0.0008	0.0004
794	0.0008	0.0004
795	0.0016	0.0012
796	0.0048	0.0008
797	0.059	0.0144
798	0.3038	0.0696
799	0.5356	0.1302
800	0.377	0.092
801	0.227	0.0546
802	0.125	0.0258
803	0.0516	0.0112
804	0.0218	0.0052
805	0.0082	0.0012
806	0.002	0.001
807	0.0014	0
808	0.0006	0
809	0.001	0.0002
810	0.0048	0.0014
811	0.0846	0.0224
812	0.252	0.0608
813	0.4034	0.0984
814	0.311	0.08
815	0.1728	0.0418
816	0.0944	0.0212
817	0.0424	0.0102
818	0.0146	0.003
819	0.0068	0.0018
820	0.001	0.0008
821	0.0016	0.0004
822	0.0014	0
823	0.0012	0
824	0.0018	0.0014
825	0.0042	0.0006
826	0.0534	0.0128
827	0.2664	0.0672
828	0.3494	0.0864
829	0.3284	0.083
830	0.2136	0.0522
831	0.1236	0.0336
832	0.06	0.019
833	0.0274	0.007
834	0.0104	0.0022
835	0.0046	0.0012
836	0.002	0.0006
837	0.0012	0.0002
838	0.0052	0.0006
839	0.0142	0.0036
840	0.1912	0.0468
841	0.3784	0.092
842	0.3454	0.0858
843	0.2092	0.051
844	0.1086	0.023
845	0.0522	0.0116
846	0.0182	0.0046
847	0.009	0.0018
848	0.0042	0.0006
849	0.0018	0
850	0.0014	0.0002
851	0.0026	0
852	0.0054	0.0014
853	0.1088	0.0248
854	0.419	0.109
855	0.2928	0.0702
856	0.2534	0.0606
857	0.1502	0.035
858	0.0772	0.0144
859	0.0362	0.0054
860	0.0134	0.0022
861	0.0046	0.0008
862	0.0034	0.0006
863	0.001	0.0004
864	0.0004	0
865	0.016	0.0042
866	0.1378	0.0386
867	0.1962	0.0492
868	0.2754	0.0692
869	0.2314	0.0626
870	0.163	0.0436
871	0.0896	0.0216
872	0.0442	0.0102
873	0.0178	0.0056
874	0.0058	0.0016
875	0.0034	0.0008
876	0.001	0.0002
877	0.0032	0.001
878	0.005	0.0018
879	0.016	0.0036
880	0.1522	0.0338
881	0.4614	0.1136
882	0.3416	0.0866
883	0.1882	0.0514
884	0.0964	0.0242
885	0.041	0.0102
886	0.018	0.004
887	0.0066	0.0016
888	0.002	0.0004
889	0.0008	0.0004
890	0.001	0
891	0.0006	0
892	0.0032	0.0004
893	0.0164	0.0062
894	0.1316	0.0322
895	0.3542	0.0818
896	0.4394	0.102
897	0.3566	0.0842
898	0.2426	0.0586
899	0.1188	0.032
900	0.0576	0.0114
901	0.0242	0.0038
902	0.009	0.0016
903	0.003	0.0002
904	0.0016	0.0002
905	0.0018	0.0002
906	0.0048	0.0008
907	0.0198	0.0054
908	0.1624	0.0396
909	0.3648	0.092
910	0.3626	0.087
